Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_339:0000197,AnthrRes_Est_1to9,,Breeding Trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000000,Anthracnose resistance,Biotic Stress traits,Degree of resistance to Anthracnose disease. Causative organism: Colletotrichum truncatum. Symptoms develop when plants start to flower. Necrotic lesions can be found on the lower leaflets and cause premature leaf senescence. Symptoms can also be found on stem starting from the base to the top of the plant,,ANTR,,Leaf and Stem,Resistance to Anthracnose,Recommended,,CO_339:0000001,Scoring method for Anthracnose resistance,Estimation,Quantification of symptoms development in leaves and stem,,Genetic resources and crop evolution 53: 111-119.,CO_339:0000002,Anthracnose damage score,Nominal,,,,,1= No lesion,3= Few small superficial lesions,"5=Few deep lesions, mostly superficial, no stem girdling","7= Several deep stem lesions, mixture of deep and superficial, partial wilting","9=Deep penetrating lesions coalesce, stem girdling, wilting",,,,,
,CO_339:0000198,AphRes_Est_pct,,Breeding Trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000003,Aphid resistance,Biotic Stress traits,Degree of resistance to Aphids. Acrythosiphon pisum. Suck sap from tender parts of plants and it is the vector of viral diseases.,,APHR,,Plant,Resistance to Aphid,Recommended,,CO_339:0000004,Screening method for Aphid Resitance,Estimation,Infestation area was taken and the percentage of area infestated was determined at seven days interval,,"Journal of Agriculture and Rural Development,4(1&2),101-106.",CO_339:0000005,Percentage,Numerical,,,,,,,,,,,,,,
,CO_339:0000199,AscBltRes_Est_1to9,,Breeding Trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000006,Ascochyta blight resistance,Biotic Stress traits,"Degree of resistance to Ascochyta blight . Causative agent: Ascochyta lentis (Didymella lentis). The pathogen infects leaves, stems, petioles, pods and seeds. On leaves, young lesions with small necrotic spots of 3-5mm diameter can be found. Reddish brown to black pycnidia from in the middle of the mature lesions. In severe infections, lesions gridle the stem, kill the epidermal and cortical cells and lead to stem breakage. Pods can also be infected and results seed infection. Heavily infected seeds look shrivelled and discoloured with a whitish mycelium and pycnidia.",,ABR,,Leaf and Stem,Resistance to Ascochyta blight,Recommended,,CO_339:0000007,Visual estimation of Ascochyta blight Resistance,Estimation,Quantification of infestation rate in leaves and stem,,"Theoretical and Applied Genetics,1999,98:93-98.",CO_339:0000008,Ascochyta blight damage score,Nominal,,,,,1=No symptoms,3=small flecks or small lesions on leaves and chlorosis at leaf tips,"5=Many leaf lesions, leaf drop, stem flecks or small lesions","7=Defoliation, extended stem lesions",9= stem girdling and or plant death,,,,,
,CO_339:0000200,BYPL_Meas_gplnt,,Breeding and agronomic trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000009,Biological yield per plant,Agronomical traits,The total biological yield of a plant (seed yield + straw yield),,BYPL,,Plant,straw and seed weight,Recommended,,CO_339:0000010,Method of measuring BYPL,Measurement,Yield of dried matured plants after pulling,,Key access and utilization descriptors for lentil genetic resources (http://www.bioversityinternational.org/e-library/publications/detail/key-access-and-utilization-descriptors-for-lentil-genetic-resources/),CO_339:0000011,g/plant,Numerical,,0,,,,,,,,,,,,
,CO_339:0000201,BYPL_Meas_gplot,,Breeding and agronomic trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000012,Biological yield per area,Agronomical traits,The total biological yield (seed yield + straw yield) of plants in a plot,,BYPO,,straw and seed,Weight per area,Recommended,,CO_339:0000013,Method of measuring BYPO,Measurement,Yield of dried matured plants in a plot after pulling,,Key access and utilization descriptors for lentil genetic resources (http://www.bioversityinternational.org/e-library/publications/detail/key-access-and-utilization-descriptors-for-lentil-genetic-resources/),CO_339:0000014,g/plot,Numerical,,,,,,,,,,,,,,
,CO_339:0000202,BDef_Est_0to9,,Physiological trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000015,Boron deficiency,Abiotic Stress traits,Deficiency of Boron in the plant,,BORD,,Leaf and Stem,Boron deficiency,Recommended,,CO_339:0000016,Screening method for Boron Deficiency,Estimation,"Quantification of symptoms development in leaves and stem, measured after six weeks of sowing",,"Plant and Soil,2000, 219,147-151.",CO_339:0000017,boron deficiency score,Ordinal,,,,,0=No symptoms of B deficiency,1= 10% of plants showing boron deficiency,2= 20% of plants showing boron deficiency,3= 30% of plants showing boron deficiency,4= 40% of plants showing boron deficiency,5= 50% of plants showing boron deficiency,6= 60% of plants showing boron deficiency,7= 70% of plants showing boron deficiency,8= 80% of plants showing boron deficiency,9 = All plants showing severe stunting and chlorosis
,CO_339:0000203,BToxRes_Est_1to10,,Breeding Trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000018,Boron toxicity tolerance,Abiotic Stress traits,Degree of tolerance to boron toxicity,,BORT,,Leaf,Boron toxicity tolerance,Recommended,,CO_339:0000019,Screening method for Boron toxicity tolerance,Estimation,Quantification of symptoms of boron toxicity in leaves,,"Theoretical and Applied Genetics,2014:127,703-713",CO_339:0000020,boron toxicity score,Ordinal,,,,,1=No symptoms of B toxicity,2= 20% of plants showing foliar damage,3=30% of plants showing foliar damage,4=40% of plants showing foliar damage,5=50% of plants showing foliar damage,6=60% of plants showing foliar damage,7=70% of plants showing foliar damage,8=80% of plants showing foliar damage,9=90% of plants showing foliar damage,10= Completed dead
,CO_339:0000204,BranchPat_Est_1to3,,All types of evaluation trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000021,Branching pattern,Morphological traits,A qualitative trait describing the branching pattern of plant,,BRPT,,Plant,Branch Pattern,Recommended,,CO_339:0000022,Branching pattern - method,Estimation,Visual observation of the branching pattern,,"The lentil botany, production and uses,2009,34-45",CO_339:0000023,branching pattern scale,Nominal,,,,,1= Erect compact with a narrow branch angle,2= Spreading,3= Intermediate,,,,,,,
,CO_339:0000205,BruRes_Comp_pct,,IPM trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000024,Bruchid resistance,Biotic Stress traits,"Degree of resistance to Bruchids.Callosobruchus analis. Damage flowers, pods and seeds",,BRUR,,Seed,Resistance to Bruchid,Recommended,,CO_339:0000025,Screening method for Bruchid Resistance,Computation,Proportion of penetrated seeds in a sample of 40 seeds,,"Euphytica.2012.188,153-162.",CO_339:0000026,Percentage of bruchid damaged seeds,Numerical,,,,,,,,,,,,,,
,CO_339:0000206,CanWid_Est_Cm,,All types of evaluation trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000027,Canopy width,Morphological traits,Width of the canopy,,CANW,,Canopy,Width,Recommended,,CO_339:0000028,Canopy Width - method,Computation,Average canopy width of three/five representative plants of an accession.,,,CO_339:0000029,cm,Numerical,,,,,,,,,,,,,,
,CO_339:0000207,CoTol_Est_1to5,,Breeding Trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000030,Cold tolerance,Abiotic Stress traits,Tolerance to damage caused to aerial plant parts by cold stress.,,CTOL,,Plant,Cold tolerance,Recommended,,CO_339:0000031,Screening method for Cold Tolerance,Estimation,visual estimation of the proportion of plants showing symptoms of cold stress,,"Pakistan Journal of Biological Sciences,1999, 2(4): 1292-1295",CO_339:0000032,cold tolerance score,Ordinal,,,,,1= No foliar damage,2= 30% of plants showing symptoms to low temperature stress,3= 50% of plants showing symptoms to low temperature stress,4= 70% of plants showing symptoms to low temperature stress,5= Completely dead,,,,,
,CO_339:0000208,CollRotRes_Est_1to9,,Breeding Trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000033,Collar rot resistance,Biotic Stress traits,Degree of resistance to collar rot. Causative agent: Sclerotium rolfsii.,,COLRR,,Plant,Resistance to Collar rot,Recommended,,CO_339:0000034,Screening method for Colar resistance,Computation,Observation of seedling mortality,,"Pakistan Journal of Botany, 2008, 40(5):2211-2215",CO_339:0000035,collar rot damage score,Ordinal,,,,,0=No mortality,1=less than 1% mortality,3=1-10% mortality,5=11-20% mortality,7=21-50%mortality,9=51% or more mortality,,,,
,CO_339:0000209,CookT_Meas_min,,All types of evaluation trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000036,Cooking time,Quality traits,Time needed for lentil sample to cook,,CKT,,Grain,Cooking time,Recommended,,CO_339:0000037,Cooking time - Method,Measurement,Cooking time for dry seed without soaking,,"Field crops research,12(1985): 153-161.",CO_339:0000038,Minutes,Duration,,15,45,,,,,,,,,,,
,CO_339:0000210,CotCol_Est_1to3,,All types of evaluation trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000039,Cotyledon colour,Quality traits,A trait describing the colour of cotyledon,,CTLC,,Cotyledon,Colour,Recommended,,CO_339:0000040,Cotyledon Colour - Method,Estimation,To be observed on seeds less than three months old,,Key access and utilization descriptors for lentil genetic resources (http://www.bioversityinternational.org/e-library/publications/detail/key-access-and-utilization-descriptors-for-lentil-genetic-resources/),CO_339:0000041,cotyldeon colour classes,Nominal,,,,,1= Yellow,2= Orange-red,3= Olive-green,,,,,,,
,CO_339:0000211,StrProtCont_Meas_Ptc,,All types of evaluation trials,,Recommended,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000042,Straw protein content,Quality traits,The amount of protein content in the straw,,STRP,,Straw,Protein Content,Recommended,,CO_339:0000043,Straw protein content analysis - Method,Measurement,Crude protein analysis in lentil straw,,"Animal Feed Science and Technology,1990.28,61-69.",CO_339:0000044,Percentage,Numerical,,0,32,,,,,,,,,,,
,CO_339:0000212,DFTFL_Meas_Days,,Breeding and agronomic trials,,Obsolete,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000045,Days to 50% flowering,Phenological traits,Number of days from sowing to when 50% of the plants have started flowering,,DFTFL,,Plant,Time to Flowering,Obsolete,,CO_339:0000046,Time to 50% flowering - method,Counting,"Number of days from sowing until 50% of the plants are in flower under irrigated condition. In rain-fed conditions, it is counted from first day of rainfall or irrigation, which is sufficient for germination",,Key access and utilization descriptors for lentil genetic resources (http://www.bioversityinternational.org/e-library/publications/detail/key-access-and-utilization-descriptors-for-lentil-genetic-resources/),CO_339:0000047,Days,Numerical,m.laporte,,,,,,,,,,,,,
,CO_339:0000213,DFFL_Meas_Days,,Breeding and agronomic trials,,Obsolete,,ICARDA,Karthika Rajendran & Shiv Kumar,04-mars-14,EN,Lentil,CO_339:0000048,Days to first flowering,Phenological traits,Number of days from sowing to when first flower started to occur,,DFFL,,Plant,Time to Flowering,Obsolete,,CO_339:0000049,Time to first flower - method,Counting,Number of days from sowing until the first flower started to occur.,,Key access and utilization descriptors for lentil genetic resources (http://www.bioversityinternational.org/e-library/publications/detail/key-access-and-utilization-descriptors-for-lentil-genetic-resources/),CO_339:0000050,Days,Numerical,,,,,,,,,,,,,,
