Trait ID 4-17-25	Trait name	Trait description	Trait synonyms	TO ID	TO Label
CO_324:0000693	Basic Vegetative Phase	Basic vegetative phase	BVP	TO:0000461	basic vegetative phase
CO_324:0000696	Critical photoperiod	Critical photoperiod : In short day plants, flowering occurs when day length becomes shorter than a critical photoperiod.	P2O	TO:0000229	photoperiod sensitivity trait
CO_324:0000702	Thermal time to panicle inititation	Thermal time to panicle inititation derived from the Thermal Time from emergence to flag leaf ligulation (TTFL) using the linear formula proposed by Folliard et al. (2004)	TTPI	TO:0002616	 flowering time trait
CO_324:0000705	Photoperiod sensitivity coefficient of the variety based on CERES model	CERES model considers that, above criticial photoperiod (P2O), a linear growth of the duration of the vegetative phase (in degree days) as a function of photoperiod. The slope of this line (P2R) defines photoperiod-sensitivity.	P2R	TO:0000229	photoperiod sensitivity trait
CO_324:0000709	Internode acid detergent fiber content of dry matter	Internode acid detergent fiber content of dry matter. This fraction contains lignins, cellulose, silica and insoluble forms of nitrogen but not hemicellulose. Internode rank and time of observation must be provided when using this trait.	InterNodADFDM	TO:0002641	 acid detergent fiber content
CO_324:0000712	Internode cellulose content of dry matter	Internode cellulose content of dry matter. Internode rank and time of observation must be provided when using this trait.	InterNodCellDM	TO:0000993	 cellulose content
CO_324:0000715	Internode Cell Wall Residue content of dry matter	Internode Cell Wall Residue content of dry matter. Internode rank and time of observation must be provided when using this trait.	InterNodCWRDM	TO:0000993	 cellulose content
CO_324:0000718	Internode hemicellulose content of dry matter	Internode hemicellulose content of dry matter. Internode rank and time of observation must be provided when using this trait.	InterNodHemiDM	TO:0006007	polysaccharide content
CO_324:0000721	Internode lignin content of dry matter	Internode lignin content of dry matter. Internode rank and time of observation must be provided when using this trait.	InterNodLigDM	TO:0000731 	lignin content
CO_324:0000724	Main shoot stem In Vitro Dry Matter Digestibility	Main shoot stem In Vitro Dry Matter Digestibility	StmMnShoIVDMD	TO:0002644	 dry matter digestibility
CO_324:0000725	Main shoot stem In Vitro Cell Wall Residues digestibility	Main shoot stem In Vitro Cell Wall Residues digestibility	StmMnShoIVCWRD	TO:0002644	 dry matter digestibility
CO_324:0000726	Main shoot stem In Vitro Organic Matter Digestibility	Main shoot stem In Vitro Organic Matter Digestibility	StmMnShoIVOMD	TO:0002644	 dry matter digestibility
CO_324:0000727	Main shoot stem crude fiber content of dry matter	Main shoot stem crude fiber content of dry matter	StmMnShoCFDM	TO:0002642	 fiber content trait
CO_324:0000728	Main shoot stem soluble sugars including starch weight	Main shoot stem soluble sugars including starch (RoughSS: Rough Soluble Sugars) weight	MnShoStmRoughSSDM	TO:0000333	 sugar content
