Trait ID	Trait name	Trait description	Synonyms		TO Label	TO ID
CO_323:0000003	Plant early vigour	The initial vigour of the seedling.	initial growth vigour, PEarlyVig		TO:0000280	seedling vigor
CO_323:0000006	Plant tillering capacity	The capacity of plants to produce tillers.	PTllrCapacity		TO:0000329	tillering ability
CO_323:0000009	Effective tiller number	The number of effective tillers bearing spikes per area.	fertile tiller number, EffTllrN		TO:0000346	tiller number
CO_323:0000012	Flowering time	The timing of the flowering.	Flw		TO:0002616	flowering time trait
CO_323:0000015	Maturity time	The timing of the physiological maturity.	Mat		TO:0000469	days to maturity
CO_323:0000018	Grain filling period duration	The duration of the grain filling period.	GFP		TO:0000929	fruit growth and development trait
CO_323:0000021	Plant lodging incidence	The plant lodging incidence.	LodgInc		TO:0000068	lodging incidence
CO_323:0000024	Plant height	The height of plant from ground to top part.	PH		TO:0000207	plant height
CO_323:0000027	Grain number per spike	The number of grains per spike.	spike grain number, SGN		TO:0002759	grain number
CO_323:0000030	Spike length	The length of the spike.	SpkLng		TO:0000271	inflorescence length
CO_323:0000033	Rachis brittleness	The tendency of rachis breaking from spike peduncle at maturity.	RachisBrit		TO:0000473	grain shattering
CO_323:0000036	Thousand grain weight	The weight of thousand grains.	TGW		TO:0000382	1000-grain weight
CO_323:0000039	Aboveground biomass yield fresh weight basis	The amount in fresh weight basis of aboveground biomass that was harvested per unit area or plant.	BMFW		TO:0000457	biomass yield
CO_323:0000042	Grain yield fresh weight basis	The amount in fresh weight basis of grain that was harvested per unit area or plant.	GYFW		TO:0000396	grain yield trait
CO_323:0000045	Harvest index	The biomass partitioning to grain, as ratio of grain yield to aboveground biomass yield.	HI		TO:0000128	harvest index
CO_323:0000048	Growth habit	The plant growth habit during vegetative stages.	GwtHabit		TO:0000928	plant structure growth and development trait
CO_323:0000051	Stem pigmentation	The stem pigmentation.	StmPig		TO:0000056	stem color
CO_323:0000054	Auricle pigmentation	The pigmentation of the auricles.	AuclePig		TO:0000294	leaf sheath auricle color
CO_323:0000057	Stem upper node pigmentation	The pigmentation of the upper node in the stem.	StmPig		TO:0000059	node color
CO_323:0000060	Flag leaf attitude	The angle or attitude of the flag leaf respect the culm.	FLfAtt		TO:0000124	flag leaf angle
CO_323:0000063	Flag leaf length	The length of flag leaf.	FLfLng		TO:0002757	flag leaf length
CO_323:0000066	Flag leaf width	The width of flag leaf at mid-point of the leaf blade.	FLfWid		TO:0002758	flag leaf lamina width
CO_323:0000069	Peduncle length	The length of the peduncles.	PedLng		TO:0002691	peduncle length
CO_323:0000072	Spike waxiness	The presence and intensity of wax in the spike	SWax		TO:0001110	spike inflorescence morphology trait
CO_323:0000075	Spike colour	The colour of the spike.	SCol		TO:0000787	inflorescence waxiness
CO_323:0000078	Spike attitude	The angle or attitude of spike respect the culm.	SAtt		TO:0001110	spike inflorescence morphology trait
CO_323:0000081	Spike type	The type of spike according its row number.	STy		TO:0000267	inflorescence type
CO_323:0000084	Lateral spikelet presence	The presence of lateral spikelets in two row types.	LSpkltPre		TO:0001110	spike inflorescence morphology trait
CO_323:0000087	Lateral spikelet fertility	The fertility of lateral spikelet sin two row types.	LSpkltFert		TO:0000180	spikelet fertility
CO_323:0000090	Spike density	The arrangement and compactness of the spikelets on the spike.	SpkDen		TO:0000625	spikelet density
CO_323:0000093	Spike basal sterility presence	The presence of sterility on spike basal spikelets.	SBsSterPre		TO:0000180	spikelet fertility
CO_323:0000096	Awn presence	The presence or absence of awns.	AwnPre		TO:0002734	awn presence
CO_323:0000099	Awn type	The lemma awns type.	AwnTy		TO:0002718	awn morphology trait
CO_323:0000102	Awn length	The length of awns.	AwnLng		TO:0000072	awn length
CO_323:0000105	Awn tip pigmentation presence	The presence or absence of pigmentation on awn tips.	AwnTipPigPre		TO:0002718	awn morphology trait
CO_323:0000108	Awn texture	The smoothness or roughness of the lemma awn barbs.	AwnTx		TO:0002719	awn morphology trait
CO_323:0000111	Lemma colour	The colour of the lemma (husk).	LemmCol		TO:0000264	lemma and palea color
CO_323:0000114	Mature spike colour	The colour of the mature spikes.	MatSCol		TO:0001110	spike inflorescence morphology trait
CO_323:0000117	Grain colour	The colour of the grains.	GCol		TO:0001109	grain color trait
CO_323:0000120	Grain hullness	The husk covering on the grain, whether lemma and palea adhere to the cariopsis.	kernel covering, GHull		TO:0001079	caryopsis fruit morphology trait
CO_323:0000123	Grain shape	The shape of the grains.	GShp		TO:0002730	grain shape
CO_323:0000126	Lemma surface type	The lemmas surface type.	LemmSurfTy		TO:1000023	lemma morphology trait
