Trait ID	Trait name	Trait description	Trait synonyms	TO Label	TO:ID
CO_338:0000003	Pod number	Is a count of the number of pods per plant grown in the pot or field.	PODNO	pod number trait	TO:0001125
CO_338:0000027	Seed yield per ha	Seed yield at maturity (kg ha-1)	SYHA	seed yield trait	TO:0000905
CO_338:0000043	Days to 50% flowering	Number of days from sowing to when 50% of the plants have started flowering	DFTFL	days to flowering trait	TO:0000344
CO_338:0000051	Seed yield per plot	Seed yield at maturity (g per plot)	SYPLOT	seed yield trait	TO:0000905
CO_338:0000056	Days to first flower	Number of days from sowing to appearance of first flower	DFFL	days to flowering trait	TO:0000344
CO_338:0000086	Root dry weight	Root dry weight of a sample	RDW	root dry weight	TO:0000078
CO_338:0000002	Pod weight	Weight of pods from a plant	PDWT	legume fruit weight	TO:0001092
CO_338:0000004	Pods per plant	Number of pods counted per plant	PDPL	pod number trait	TO:0001125
CO_338:0000005	Seeds per pod	Number of seeds per pod from a plant	SDPD	fruit seed number	TO:0000445
CO_338:0000011	Growth habit	Growth habit of the plant	GRH	whole plant growth and development trait	TO:0000947
CO_338:0000014	Plant width	Width of the plant i.e., the spread of the plant canopy	Plant canopy width, PLWTH	plant width	TO:0006062
CO_338:0000015	Plant pigmentation	Extent of anthocyanin pigmentation in the plant	Stem pigmentation, PLPIG	plant color	TO:0000708
CO_338:0000017	Flower color	Color of the flower	FLCOL	flower color	TO:0000537
CO_338:0000019	Seed shape	Shape of the seed e.g., angular/pea shaped/owls head	SDSHP	seed shape	TO:0000484
CO_338:0000020	Seed color	Color of the seed coat. It can describe the main color of the seed coat (e.g., black, brown, green, yellow, white), its different color shades, its combination of colors	testa color, seed coat color, SDCOL	seed color	TO:0000486
CO_338:0000021	Seed surface	Surface of the seed e.g., rough, smooth, tuberculated	SDSRF	seed coat texture	TO:0000903
CO_338:0000023	Plant height	Height of the plant described as the distance between the soil and the plant canopy	PLHGT	plant height	TO:0000207
CO_338:0000025	Seed yield per plant	Weight of seeds obtained from a plant.	seed weight, SYPL	seed yield trait	TO:0000905
CO_338:0000026	Seed weight	Weight of a seed	100-seed mass	seed weight	TO:0000181
CO_338:0000029	Harvest index	Proportion of grain yield over total biomass yield	HI	seed harvest index	TO:0000897
CO_338:0000030	Shoot dry weight	Weight of the shoot without roots	biomass, SHWT	shoot system morphology trait	TO:0000077
CO_338:0000034	Root dry weight	Dry weight of the root	RTWT	root dry weight	TO:0000078
CO_338:0000036	Botrytis grey mold resistance	Causative agent: Botrytis cinerea. It causes water soaked and irregular lesions on the pod that contain either small shriveled seeds or no seeds at all, lesions girdle the stem completely	BGMR	Ascomycete fungal disease response	TO:0001145
CO_338:0000037	Fusarium wilt resistance	Causative agent: Fusarium oxysporum f.sp.ciceris. It causes seedlings to die, seedlings collapse and lie flat on the ground, when uprooted plants show uneven shrinking of the stem above and below the collar region	FWR	Ascomycete fungal disease response	TO:0001145
CO_338:0000038	Colletotrichum blight resistance	Causative agent: Colletotrichum capsici. It causes elongated, sunken, dark brown spots on the lower part of the stem, wilting and drying due to severe infection	COLBR	Ascomycete fungal disease response	TO:0001145
CO_338:0000039	Ascochyta blight resistance	Causative agent: Ascochyta rabiei. It causes dark brown lesions at the base of the stem of emerging seedlings, seen during the flowering and podding phases of blighted plants in the field, affected seedlings die	ABR	Ascomycete fungal disease response	TO:0001145
CO_338:0000041	Pod borer resistance	The extent of damage caused by the pod borer. Causative agent:Helicoverpa armigera. The insect feeds on all green parts and defoliate young crops, large larvae cut round holes in the pod wall and devour the seed inside.	PBR	insect damage response trait	TO:0000261
CO_338:0000044	Time to maturity	Time elpased from sowing to maturity	TimeMat	days to maturity	TO:0000469
CO_338:0000047	Biomass yield per plant	The dry weight of the whole plant (excluding roots)	BYPL	plant dry weight	TO:0000352
CO_338:0000049	Flowering duration	Period during which plants continue to flower	FLD	flowering time trait	TO:0002616
CO_338:0000052	Seed per plant	Number of seeds per plant	SDNPL	seed yield trait	TO:0000905
CO_338:0000054	Number of flowers per peduncle	Number of flowers per peduncle	FLPED	flower number	TO:0002736
CO_338:0000055	Seed diameter	Seed diameter of fully dried seed	SDDIA	seed width	TO:0000149
CO_338:0000057	Cold tolerance	Degree of tolerance to cold	CT	cold tolerance	TO:0000303
CO_338:0000058	No. of fertile pods per plant	Number of pods with seed	NPDPL	pod number trait	TO:0001125
CO_338:0000059	Biomass yield	The dry weight of the plant (excluding roots) harvested from an area	BY	plant dry weight	TO:0000352
CO_338:0000060	Seed protein content	Protein content of the whole seed	PRT	seed protein content	TO:0000490
CO_338:0000061	Cooking time	Cooking time for dry seed without soaking	CKT	cooking or brewing quality	TO:0000667
