Trait ID	Trait name	Trait description	synonyms	TO label	TO ID
CO_337:0000001	emergence time	Emergence time usually recorded as days from sowing or date.	Em	days to germinate	TO:0006061
CO_337:0000002	flowering time	Flowering time usually recorded as days from sowing or date.	Flw	flowering time trait	TO:0002616
CO_337:0000004	harvest time	Harvest time usually recorded as days from sowing or date.	maturity, harv	days to maturity	TO:0000469
CO_337:0000005	pod yield (qualitative)	Assessement of pods weight per unit area or plot.	PYq	fruit yield trait	TO:0000871
CO_337:0000006	general disease severity	General disease severity for plants infected with leafspots and/or rust.	DS	fungal disease response	TO:0000439
CO_337:0000007	Rosette disease incidence	Rosette disease incidence caused by a complex of two viruses.	Disease Score RO:Rosette, DRO	viral disease response	TO:0000148
CO_337:0000008	insect pest damage	Damage caused by insect pest.	insect pest score, IPS	insect damage response	TO:0000261
CO_337:0000009	shelling ratio	Proportion of seed weight to total pod weight.	SH	seed yield trait	TO:0000905
CO_337:0000010	seed sound mature proportion	Proportion of mature seed to total seed weight.	SM	seed quality trait	TO:0000931
CO_337:0000011	seed weight	Weight of seed.	SW	seed weight	TO:0000181
CO_337:0000012	seed appearance and uniformity	Appearance of seeds and their uniformity.	SAU	seed quality trait	TO:0000931
CO_337:0000013	seed oil content	Oil content of seeds.	Oil	fat and essential oil content	TO:0000604
CO_337:0000014	seed protein content	Protein content of seeds.	Prot	seed protein contenet trait	TO:0000490
CO_337:0000015	growth habit	A qualitative description of the growth habit of the plant.	GH	whole plant growth and development trait	TO:0000947
CO_337:0000016	Branching habit	A qualitative description of the branch habit of the plant, whether number of branches/architecture-erect/semi-erect/prostrate/spreading/semi-spreading	BH	shoot branching	TO:0002639
CO_337:0000017	Stem pigmentation	A qualitative trait indicating the extent of anthocyanin pigmentation in the stem.	Haulm pigmentation, StPig, SP	stem color	TO:0000056
CO_337:0000018	Peg pigmentation	A qualitative trait indicating the extent pigmentation in the peg.	PegPig, PP	shoot axis morphology trait	TO:0000739
CO_337:0000019	leaf size	Size of the leaf.	LS	leaf size	TO:0002637
CO_337:0000020	leaf color	A qualitative expression of leaf color.	LC	leaf color	TO:0000326
CO_337:0000021	leaf shape	Visual appearance of leaf shape.	LSp	leaf shape	TO:0000492
CO_337:0000022	flower standard petal color	A qualitative trait indicating flower standard petal color.	FC	petal color	TO:0000572
CO_337:0000023	marking on standard petal	A quantitative appearance of wing petal.	MSP	petal morphology trait	TO:0000863
CO_337:0000024	flower crescent color	A qualitative trait indicating flower crescent color.	FCC	petal color	TO:0000572
CO_337:0000025	hairiness on mainstem	Morphological character measuring density of hairs on main stem.	hairiness on main haulm, HMSt, HM	stem hairiness	TO:0000879
CO_337:0000026	hairiness on mature leaflet	Morphological character measuring density of hairs on leaf.	HML	leaf pubescence	TO:0002722
CO_337:0000027	pod seed number	Number of seeds per pod.	seed per pod, PSN	fruit seed number	TO:0000445
CO_337:0000028	pod size	Length of pod.	PSz	fruit length	TO:0002626
CO_337:0000029	pod constriction	A qualitative trait indicating shape of pod.	Con	fruit shape	TO:0002628
CO_337:0000030	pod beak	Tip of the pod.	B	fruit shape	TO:0002628
CO_337:0000031	pod reticulation	Reticulation (venation, ribbing, ridging) on the shell of the pod	RL	pericarp texture	TO:0002623
CO_337:0000032	pod ridge	Texture of each seed in pod.	R	seed coat texture	TO:0000903
CO_337:0000033	pod shell thickness	A quantitative measurement of pod thickness.	ST	pericarp morphology trait	TO:0000945
CO_337:0000034	seed color	A qualitative trait indicating seed coat color.	SCP	seed coat color	TO:0000190
CO_337:0000035	seed size	A trait indicating seed size.	SSz	seed size	TO:0000391
CO_337:0000036	seed shape	A qualitative trait indicating seed shape.	SSp	seed shape	TO:0000484
CO_337:0000037	seed ends	A qualitative trait indicating seed end shape.	E	seed shape	TO:0000484
CO_337:0000038	cultivar group	A classification of varieties of groundnut.	CG	not a trait	
CO_337:0000039	canopy height	Height of the canopy.	plant height, main stem height, CH	plant height	TO:0000207
CO_337:0000040	canopy width	Width of the canopy.	canopy diameter, CW	plant width	TO:0006062
CO_337:0000041	root depth	Maximum rooting depth.	RD	rooting depth	TO:0000519
CO_337:0000042	root biomass	Root dry weight of a sample.	RBM	root dry weight	TO:0000078
CO_337:0000043	root length	Root length of a sample.	RL	root length	TO:0000227
CO_337:0000044	root diameter	Root diameter.	RDM	root width	TO:0001112
CO_337:0000045	root to shoot ratio	Root/shoot dry weight ratio.	RSR	root to shoot ratio	TO:0000278
CO_337:0000046	biomass	The amount (weight) of biomass that was harvested per unit area or plant.	BM	biomass yield	TO:0000457
CO_337:0000047	leaf weight	Weight of leaf.	LW	leaf weight	TO:0000505
					
CO_337:0000049	specific leaf area	Specific leaf area as leaf area/leaf weight ratio.	SLA	specific leaf area	TO:0000562
CO_337:0000050	plant stem weight	Weight of stems per plant.	haulm weight, PlntStW	stem weight	TO:0000952
CO_337:0000051	plant leaf weight	Total leaves weight per plant.	PlntLW	leaf weight 	TO:0000505
