Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_324:0000387,AgApp_E_1to5,AGAPP_1_5,"Trials, Nursery, Farmer group evaluation",Maturity,,BMS_20377,ICRISAT Bamako,Eva Weltzien,23/11/2011,EN,Sorghum,CO_324:0000112,Plant agronomic appreciation,Agronomic,Plant type desirability.,,AgApp,AGAPP,Plant,agronomic appreciation,,,CO_324:0000113,Plant agronomic appreciation - Estimation,Estimation,Observation of the morphology of the variety to give an agronomic score.,,,CO_324:0000114,AgApp Score (1-5),Ordinal,,,,,1= Very poor,2= Poor,3= Acceptable,4=Good,5= Very Good,,,,,
,CO_324:0000388,EPcleNo_Ct_pclePlot,NEP_pcle,Trials and nurseries,Maturity,,BMS_20403,ICRISAT/IER,Eva Weltzien/Niaba Teme,23/11/2011,EN,Sorghum,CO_324:0000160,Empty panicle number,Agronomic,"Number of empty or missing panicles, mainly due biotic or abiotic stresses, as heat, frost, bird or midge damage.",,EPcleNo,NEP,Empty panicle,number,,,CO_324:0000161,Empty panicle number - Counting,Counting,"Visually asset losses of grain in harvested panicles, damage usually caused by birds, insects, midges, breakages, etc.",,,CO_324:0000162,panicle/plot,Numerical,,,,,,,,,,,,,,
,CO_324:0000392,ETNo_Ct_tllrplnt,ETN_tillers,,,,BMS_20551,,,,EN,Sorghum,CO_324:0000389,Effective tiller number,Agronomic,Number of tillers bearing a panicle.,,ETN,,Effective tiller,number,,,CO_324:0000390,Effective tiller number - Counting,Counting,Count effective tiller number.,,,CO_324:0000391,tiller/plant,Numerical,,,,,,,,,,,,,,
,CO_324:0000393,FP_E_1to3,FP_1_3,Trials and nurseries,Maturity,,BMS_20385,ICRISAT Bamako,Eva Weltzien,23/11/2011,EN,Sorghum,CO_324:0000127,Variety farmer preference,Agronomic,Farmer choice of the variety.,,FP,FP,Plant,farmer preference,,,CO_324:0000128,Variety farmer preference - Estimation,Estimation,The farmer observes the different plots and assigns a preference score using a scale predefined.,,,CO_324:0000129,FP Score (1-3),Nominal,,,,,1= Variety to reject,2= Need to Test Again,"3= Very interesting Variety, Want to Test",,,,,,,
,CO_324:0000397,GDMC_M_pct,,,,,,CIRAD,JF Rami,,EN,Sorghum,CO_324:0000394,Grain dry matter content,Agronomic,Grain dry matter content.,,GDMC,,Grain,Dry matter content,,,CO_324:0000395,Grain dry matter content - Measurement,Measurement,Measure or calculate dry matter content of a sample by calculating the ratio of the weight of the sample after complete desiccation to the initial weight of the sample.,,,CO_324:0000198,%,Numerical,,,,,,,,,,,,,,
,CO_324:0000399,GDMYld_C_gPlot,,,,,BMS_20553,CIRAD,JF Rami,,EN,Sorghum,CO_324:0000006,Grain dry matter basis yield,Agronomic,The weight of grain expressed in dry matter basis that was harvested per unit area.,,GDMYld,,Grain,Dry matter basis yield,,,CO_324:0000398,Grain dry matter basis yield (g/plot) - Computation,Computation,Calculate using the formula.,(GHvYld_M_gPlot * GDMC_M_pct)/100,,CO_324:0000078,g/plot,Numerical,,,,,,,,,,,,,,
,CO_324:0000400,GDMYld_C_kgha,,,,,BMS_20591,CIRAD,JF Rami,,EN,Sorghum,CO_324:0000006,Grain dry matter basis yield,Agronomic,The weight of grain expressed in dry matter basis that was harvested per unit area.,,GDMYld,,Grain,Dry matter basis yield,,,CO_324:0000230,Grain dry matter basis yield (kg/ha) - Computation,Computation,Calculate using the formula.,GDMYld_C_gPlot / plot_area,,CO_324:0000231,kg/ha,Numerical,,,,,,,,,,,,,,
,CO_324:0000403,GHvYld_C_kgha,,,,,,CIRAD,JF Rami,,EN,Sorghum,CO_324:0000133,Grain yield at harvest,Agronomic,The weight of grain expressed fresh (field) basis that was harvested per unit area.,,GHvYld,,Grain,Yield at harvest,,,CO_324:0000401,Grain yield at harvest (kg/ha) - Computation,Computation,Calculate using the formula.,GHvYld_M_gPlot / plot_area,,CO_324:0000231,kg/ha,Numerical,,,,,,,,,,,,,,
,CO_324:0000404,GHvYld_M_gPlot,,,,,BMS_20394,CIRAD,JF Rami,,EN,Sorghum,CO_324:0000133,Grain yield at harvest,Agronomic,The weight of grain expressed fresh (field) basis that was harvested per unit area.,,GHvYld,,Grain,Yield at harvest,,,CO_324:0000134,Grain yield at harvest - Measurement,Measurement,Record grain weight after harvest.,,,CO_324:0000078,g/plot,Numerical,,,,,,,,,,,,,,
,CO_324:0000408,GMoi_C_pct,,,,,,CIRAD,JF Rami,,EN,Sorghum,CO_324:0000405,Grain moisture content,Agronomic,Grain moisture content.,,GMoi,,Grain,Moisture content,,,CO_324:0000406,Grain moisture content - Computation,Computation,Calculate using the formula.,100 - DMC,,CO_324:0000198,%,Numerical,,,,,,,,,,,,,,
